Fahrten,Namen
1977,S8 (Regionalverkehr Bern-Solothurn)
1177,38 (Autobusbetrieb RBS)
323,S4 (BLS AG (bls))
183,RE5 (Regionalverkehr Bern-Solothurn)
97,10 (Städtische Verkehrsbetriebe Bern)
89,36 (Autobusbetrieb RBS)
69,41 (Autobusbetrieb RBS)
62,S3 (BLS AG (bls))
51,S7 (Regionalverkehr Bern-Solothurn)
50,465 (Busland AG)
44,S31 (BLS AG (bls))
42,8 (Städtische Verkehrsbetriebe Bern)
41,12 (Städtische Verkehrsbetriebe Bern)
35,S41 (BLS AG (bls))
31,S20 (Schweizerische Bundesbahnen SBB)
30,6 (Städtische Verkehrsbetriebe Bern)
25,871 (Autobusbetrieb RBS)
23,S2 (BLS AG (bls))
22,20 (Städtische Verkehrsbetriebe Bern)
21,S11 (BLS AG (bls))
