Fahrten,Namen
131,S8 (Regionalverkehr Bern-Solothurn)
92,38 (Autobusbetrieb RBS)
34,RE5 (Regionalverkehr Bern-Solothurn)
6,S4 (BLS AG (bls))
6,S2 (BLS AG (bls))
5,RE1 (BLS AG (bls))
5,S20 (Schweizerische Bundesbahnen SBB)
4,EC (Schweizerische Bundesbahnen SBB)
4,12 (Städtische Verkehrsbetriebe Bern)
3,10 (Städtische Verkehrsbetriebe Bern)
3,7 (Busbetrieb Solothurn und Umgebung)
2,S7 (Regionalverkehr Bern-Solothurn)
1,S11 (Aare Seeland mobil (snb))
1,RE7 (BLS AG (bls))
1,IR35 (Schweizerische Bundesbahnen SBB)
1,9 (Städtische Verkehrsbetriebe Bern)
1,8 (Autobusbetrieb RBS)
1,S6 (BLS AG (bls))
1,3 (Busbetrieb Solothurn und Umgebung)
1,S45 (BLS AG (bls))
