Fahrten,Namen
62,Bern - Mattstetten
10,Mattstetten - Solothurn
8,Mattstetten - Thun
8,Bätterkinden - Mattstetten
7,Ittigen - Mattstetten
3,Lohn-Ammannsegg - Mattstetten
3,Bern - Rüderswil
3,Biberist - Mattstetten
2,Mattstetten - Zuchwil
2,Bäriswil - Ittigen
2,Langendorf - Mattstetten
2,Mattstetten - Worb
1,Langenthal - Mattstetten
1,Köniz - Mattstetten
1,Mattstetten - Oberbuchsiten
1,Mattstetten - Olten
1,Fraubrunnen - Mattstetten
1,Mattstetten - Riedholz
1,Langnau im Emmental - Mattstetten
1,Mattstetten - Schwarzenburg
