Fahrten,Namen
1316,S8 (Regionalverkehr Bern-Solothurn)
354,38 (Autobusbetrieb RBS)
163,10 (Städtische Verkehrsbetriebe Bern)
77,8 (Städtische Verkehrsbetriebe Bern)
66,S2 (BLS AG (bls))
53,465 (Busland AG)
53,20 (Städtische Verkehrsbetriebe Bern)
53,12 (Städtische Verkehrsbetriebe Bern)
47,6 (Städtische Verkehrsbetriebe Bern)
36,871 (Autobusbetrieb RBS)
29,S4 (BLS AG (bls))
25,EC (Schweizerische Bundesbahnen SBB)
14,IR65 (BLS AG (bls))
14,RE1 (BLS AG (bls))
14,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
13,7 (Städtische Verkehrsbetriebe Bern)
12,104 (PostAuto AG)
12,9 (Städtische Verkehrsbetriebe Bern)
11,IR35 (Schweizerische Bundesbahnen SBB)
10,100 (PostAuto AG)
