Fahrten,Namen
519,Bern - Jegenstorf
364,Bern - Mattstetten
76,Bern - Fraubrunnen
31,Jegenstorf - Köniz
26,Jegenstorf - Ostermundigen
24,Bern - Bäriswil
23,Mattstetten - Ostermundigen
22,Köniz - Mattstetten
21,Bern - Lyssach
19,Jegenstorf - Muri bei Bern
13,Mattstetten - Muri bei Bern
13,Biel/Bienne - Mattstetten
12,Jegenstorf - Thun
8,Mattstetten - Thun
7,Köniz - Lyssach
6,Mattstetten - Münsingen
5,Bremgarten bei Bern - Jegenstorf
5,Jegenstorf - Münsingen
4,Bern - Messen
4,Fraubrunnen - Ostermundigen
