Fahrten,Namen
1380,S8 (Regionalverkehr Bern-Solothurn)
442,S7 (Regionalverkehr Bern-Solothurn)
133,451 (PostAuto AG)
124,36 (Autobusbetrieb RBS)
82,38 (Autobusbetrieb RBS)
57,S3 (BLS AG (bls))
51,S9 (Regionalverkehr Bern-Solothurn)
48,IR65 (BLS AG (bls))
46,S31 (BLS AG (bls))
38,IC61 (Schweizerische Bundesbahnen SBB)
36,RE5 (Regionalverkehr Bern-Solothurn)
36,107 (PostAuto AG)
34,34 (Autobusbetrieb RBS)
28,17 (Städtische Verkehrsbetriebe Bern)
28,7 (Städtische Verkehrsbetriebe Bern)
28,898 (Autobusbetrieb RBS)
24,S4 (BLS AG (bls))
21,M11 (Busbetrieb Solothurn und Umgebung)
21,465 (Busland AG)
20,IR35 (Schweizerische Bundesbahnen SBB)
