Fahrten,Namen
1311,Bern - Zollikofen
786,Bern - Mattstetten
519,Bern - Jegenstorf
382,Bern - Moosseedorf
111,Köniz - Zollikofen
76,Bern - Fraubrunnen
71,Ostermundigen - Zollikofen
63,Mattstetten - Ostermundigen
62,Muri bei Bern - Zollikofen
56,Biel/Bienne - Zollikofen
55,Köniz - Mattstetten
42,Burgdorf - Zollikofen
39,Thun - Zollikofen
36,Biel/Bienne - Mattstetten
33,Mattstetten - Thun
31,Jegenstorf - Köniz
30,Mattstetten - Muri bei Bern
29,Moosseedorf - Ostermundigen
26,Jegenstorf - Ostermundigen
26,Wohlen bei Bern - Zollikofen
