Fahrten,Namen
378,Bern - Jegenstorf
45,Ittigen - Jegenstorf
31,Jegenstorf - Köniz
26,Bätterkinden - Mattstetten
22,Jegenstorf - Thun
21,Jegenstorf - Mattstetten
19,Fraubrunnen - Jegenstorf
18,Jegenstorf - Zollikofen
17,Mattstetten - Solothurn
12,Solothurn - Zollikofen
11,Fraubrunnen - Zollikofen
10,Bätterkinden - Zollikofen
9,Bätterkinden - Jegenstorf
8,Jegenstorf - Utzenstorf
6,Ittigen - Solothurn
6,Ittigen - Zuchwil
6,Moosseedorf - Solothurn
6,Jegenstorf - Moosseedorf
6,Lohn-Ammannsegg - Mattstetten
6,Bätterkinden - Moosseedorf
