Fahrten,Namen
493,S8 (Regionalverkehr Bern-Solothurn)
41,10 (Städtische Verkehrsbetriebe Bern)
29,S2 (BLS AG (bls))
23,8 (Städtische Verkehrsbetriebe Bern)
22,12 (Städtische Verkehrsbetriebe Bern)
14,EC (Schweizerische Bundesbahnen SBB)
9,6 (Städtische Verkehrsbetriebe Bern)
8,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,107 (PostAuto AG)
6,9 (Städtische Verkehrsbetriebe Bern)
5,871 (Autobusbetrieb RBS)
4,RE7 (BLS AG (bls))
3,104 (PostAuto AG)
3,19 (Städtische Verkehrsbetriebe Bern)
2,5 (STI Bus AG)
2,3 (STI Bus AG)
2,RE1 (BLS AG (bls))
2,IC1 (Schweizerische Bundesbahnen SBB)
2,21 (Städtische Verkehrsbetriebe Bern)
2,20 (Städtische Verkehrsbetriebe Bern)
