Fahrten,Namen
481,S8 (Regionalverkehr Bern-Solothurn)
342,465 (Busland AG)
57,884 (Autobusbetrieb RBS)
41,RE5 (Regionalverkehr Bern-Solothurn)
28,38 (Autobusbetrieb RBS)
26,S44 (BLS AG (bls))
25,S31 (BLS AG (bls))
21,41 (Autobusbetrieb RBS)
15,S7 (Regionalverkehr Bern-Solothurn)
13,363 (Autobusbetrieb RBS)
10,17 (Städtische Verkehrsbetriebe Bern)
10,7 (Städtische Verkehrsbetriebe Bern)
9,S2 (BLS AG (bls))
9,10 (Städtische Verkehrsbetriebe Bern)
7,8 (Städtische Verkehrsbetriebe Bern)
7,S3 (BLS AG (bls))
7,S11 (BLS AG (bls))
5,882 (PostAuto AG)
4,466 (Busland AG)
4,IC5 (Schweizerische Bundesbahnen SBB)
