Fahrten,Namen
8,Fraubrunnen - Jegenstorf
7,Fraubrunnen - Solothurn
4,Bern - Fraubrunnen
2,Biberist - Fraubrunnen
2,Fraubrunnen - Zuchwil
1,Fraubrunnen - Muri bei Bern
1,Derendingen - Fraubrunnen
1,Fraubrunnen - Lohn-Ammannsegg
1,Biel/Bienne - Fraubrunnen
1,Fraubrunnen - Ittigen
1,Fraubrunnen - Langendorf
1,Beatenberg - Lyssach
1,Fraubrunnen - Nidau
0,Bätterkinden - Fraubrunnen
0,Fraubrunnen - Ostermundigen
0,Fraubrunnen - Grenchen
0,Fraubrunnen - Zollikofen
0,La Tène - Lyssach
0,Fraubrunnen - Köniz
