Fahrten,Namen
52,Lyssach - Mattstetten
34,Lyssach - Moosseedorf
33,Bern - Lyssach
32,Jegenstorf - Lyssach
27,Fraubrunnen - Jegenstorf
19,Ittigen - Lyssach
18,Fraubrunnen - Kirchberg (BE)
15,Lyssach - Rapperswil (BE)
14,Fraubrunnen - Utzenstorf
13,Lyssach - Zollikofen
13,Bätterkinden - Fraubrunnen
11,Fraubrunnen - Lyssach
11,Kernenried - Mattstetten
10,Koppigen - Lyssach
8,Köniz - Lyssach
8,Jegenstorf - Kernenried
7,Fraubrunnen - Solothurn
7,Fraubrunnen - Rapperswil (BE)
7,Bäriswil - Lyssach
7,Fraubrunnen - Mattstetten
