Fahrten,Namen
802,S8 (Regionalverkehr Bern-Solothurn)
102,10 (Städtische Verkehrsbetriebe Bern)
53,465 (Busland AG)
49,8 (Städtische Verkehrsbetriebe Bern)
45,S2 (BLS AG (bls))
36,871 (Autobusbetrieb RBS)
31,20 (Städtische Verkehrsbetriebe Bern)
31,12 (Städtische Verkehrsbetriebe Bern)
29,6 (Städtische Verkehrsbetriebe Bern)
17,S4 (BLS AG (bls))
14,EC (Schweizerische Bundesbahnen SBB)
10,S44 (BLS AG (bls))
9,7 (Städtische Verkehrsbetriebe Bern)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
9,104 (PostAuto AG)
8,9 (Städtische Verkehrsbetriebe Bern)
7,IR35 (Schweizerische Bundesbahnen SBB)
7,107 (PostAuto AG)
7,100 (PostAuto AG)
7,21 (Städtische Verkehrsbetriebe Bern)
