Fahrten,Namen
238,S8 (Regionalverkehr Bern-Solothurn)
23,36 (Autobusbetrieb RBS)
13,10 (Städtische Verkehrsbetriebe Bern)
13,S3 (BLS AG (bls))
11,41 (Autobusbetrieb RBS)
10,S31 (BLS AG (bls))
9,RE5 (Regionalverkehr Bern-Solothurn)
8,12 (Städtische Verkehrsbetriebe Bern)
6,S11 (BLS AG (bls))
6,465 (Busland AG)
4,7 (Städtische Verkehrsbetriebe Bern)
4,17 (Städtische Verkehrsbetriebe Bern)
4,6 (Städtische Verkehrsbetriebe Bern)
4,S7 (Regionalverkehr Bern-Solothurn)
3,RE1 (BLS AG (bls))
3,8 (Städtische Verkehrsbetriebe Bern)
3,34 (Autobusbetrieb RBS)
2,11 (Städtische Verkehrsbetriebe Bern)
2,S9 (Regionalverkehr Bern-Solothurn)
2,884 (Autobusbetrieb RBS)
