Fahrten,Namen
2154,S8 (Regionalverkehr Bern-Solothurn)
309,38 (Autobusbetrieb RBS)
239,M11 (Busbetrieb Solothurn und Umgebung)
209,10 (Städtische Verkehrsbetriebe Bern)
131,12 (Städtische Verkehrsbetriebe Bern)
130,8 (Städtische Verkehrsbetriebe Bern)
97,7 (Städtische Verkehrsbetriebe Bern)
70,RE1 (BLS AG (bls))
70,6 (Städtische Verkehrsbetriebe Bern)
68,17 (Städtische Verkehrsbetriebe Bern)
60,S2 (BLS AG (bls))
45,IC61 (Schweizerische Bundesbahnen SBB)
36,S1 (BLS AG (bls))
32,IR17 (BLS AG (bls))
28,S4 (BLS AG (bls))
26,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
24,9 (Städtische Verkehrsbetriebe Bern)
20,S5 (BLS AG (bls))
19,21 (Städtische Verkehrsbetriebe Bern)
16,11 (Städtische Verkehrsbetriebe Bern)
