Fahrten,Namen
640,S8 (Regionalverkehr Bern-Solothurn)
50,RE1 (BLS AG (bls))
31,IC61 (Schweizerische Bundesbahnen SBB)
31,7 (Städtische Verkehrsbetriebe Bern)
28,17 (Städtische Verkehrsbetriebe Bern)
18,10 (Städtische Verkehrsbetriebe Bern)
17,12 (Städtische Verkehrsbetriebe Bern)
10,8 (Städtische Verkehrsbetriebe Bern)
10,S2 (BLS AG (bls))
9,9 (Städtische Verkehrsbetriebe Bern)
8,IC1 (Schweizerische Bundesbahnen SBB)
8,IR17 (BLS AG (bls))
7,5 (STI Bus AG)
7,S5 (BLS AG (bls))
6,EC (Schweizerische Bundesbahnen SBB)
6,S6 (BLS AG (bls))
6,3 (STI Bus AG)
6,IC6 (Schweizerische Bundesbahnen SBB)
6,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
5,38 (Autobusbetrieb RBS)
