Fahrten,Namen
850,Bern - Mattstetten
591,Bern - Moosseedorf
79,Bern - Fraubrunnen
47,Mattstetten - Ostermundigen
46,Moosseedorf - Ostermundigen
40,Bern - Bäriswil
37,Mattstetten - Thun
33,Köniz - Moosseedorf
26,Köniz - Mattstetten
21,Mattstetten - Münsingen
16,Bremgarten bei Bern - Moosseedorf
14,Moosseedorf - Wohlen bei Bern
12,Bern - Lyssach
11,Moosseedorf - Muri bei Bern
11,Moosseedorf - Münsingen
10,Jegenstorf - Thun
9,Mattstetten - Steffisburg
9,Bern - Lützelflüh
8,Kirchlindach - Moosseedorf
8,Jegenstorf - Ostermundigen
