Fahrten,Namen
6598,S7 (Regionalverkehr Bern-Solothurn)
550,44 (Autobusbetrieb RBS)
502,451 (PostAuto AG)
376,S8 (Regionalverkehr Bern-Solothurn)
371,40 (Autobusbetrieb RBS)
330,46 (Autobusbetrieb RBS)
263,8 (Städtische Verkehrsbetriebe Bern)
248,781 (PostAuto AG)
203,47 (Autobusbetrieb RBS)
180,20 (Städtische Verkehrsbetriebe Bern)
179,10 (Städtische Verkehrsbetriebe Bern)
162,7 (Städtische Verkehrsbetriebe Bern)
135,36 (Autobusbetrieb RBS)
134,6 (Städtische Verkehrsbetriebe Bern)
123,12 (Städtische Verkehrsbetriebe Bern)
116,795 (PostAuto AG)
109,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
106,9 (Städtische Verkehrsbetriebe Bern)
98,S4 (BLS AG (bls))
81,S2 (BLS AG (bls))
