Fahrten,Namen
963,S7 (Regionalverkehr Bern-Solothurn)
37,S8 (Regionalverkehr Bern-Solothurn)
24,12 (Städtische Verkehrsbetriebe Bern)
18,10 (Städtische Verkehrsbetriebe Bern)
15,IR65 (BLS AG (bls))
14,RE1 (BLS AG (bls))
14,36 (Autobusbetrieb RBS)
13,S31 (BLS AG (bls))
12,EC (Schweizerische Bundesbahnen SBB)
11,791 (PostAuto AG)
11,8 (Städtische Verkehrsbetriebe Bern)
11,40 (Autobusbetrieb RBS)
9,2350 (Drahtseilbahn Marzili-Stadt Bern AG)
7,S9 (Regionalverkehr Bern-Solothurn)
7,S2 (BLS AG (bls))
6,7 (Städtische Verkehrsbetriebe Bern)
6,RE5 (Regionalverkehr Bern-Solothurn)
6,IC1 (Schweizerische Bundesbahnen SBB)
6,20 (Städtische Verkehrsbetriebe Bern)
6,46 (Autobusbetrieb RBS)
